,object_number,rights,attribution
0,0001_0-2,CC0 1.0,
1,0001_1-2,CC0 1.0,
2,0001_2-2,CC0 1.0,
3,0002,CC0 1.0,
4,0003_0-3,CC0 1.0,
5,0003_1-3_ROOD,CC0 1.0,
6,0003_2-3_ROOD,CC0 1.0,
7,0003_3-3,CC0 1.0,
8,0004,CC0 1.0,
9,0005,CC0 1.0,
10,0006,Copyright Status Not Evaluated,
11,0007,CC0 1.0,
12,0008,CC0 1.0,
13,0009,CC0 1.0,
14,0011_0-2,Copyright Status Not Evaluated,
15,0011_1-2,Copyright Status Not Evaluated,
16,0011_2-2,Copyright Status Not Evaluated,
17,0012,Copyright Status Not Evaluated,
18,0013_0-2,CC0 1.0,
19,0013_1-2,CC0 1.0,
20,0013_2-2,CC0 1.0,
21,0014,Copyright Status Not Evaluated,
22,0015_0-3,Copyright Status Not Evaluated,
23,0015_1-3,Copyright Status Not Evaluated,
24,0015_2-3,Copyright Status Not Evaluated,
25,0015_3-3,Copyright Status Not Evaluated,
26,0016,Copyright Status Not Evaluated,
27,0017,CC0 1.0,
28,0018,Copyright Status Not Evaluated,
29,0019_ROOD,CC0 1.0,
30,0021,CC0 1.0,
31,0022,CC0 1.0,
32,0023,Copyright Status Not Evaluated,
33,0024,CC0 1.0,
34,0025,CC0 1.0,
35,0026,CC0 1.0,
36,0027_0-3,Copyright Status Not Evaluated,
37,0027_1-3,Copyright Status Not Evaluated,
38,0027_2-3,Copyright Status Not Evaluated,
39,0027_3-3,Copyright Status Not Evaluated,
40,0028,CC BY-NC-ND 4.0,Jules Boulez
41,0029_0-2,CC0 1.0,
42,0029_1-2_ROOD,CC0 1.0,
43,0029_2-2,CC0 1.0,
44,0030,CC0 1.0,
45,0031,CC0 1.0,
46,0032,CC0 1.0,
47,0033_0-2,CC0 1.0,
48,0033_1-2,CC0 1.0,
49,0033_2-2,CC0 1.0,
50,0034,CC0 1.0,
51,0035,Copyright Status Not Evaluated,
52,0036,CC0 1.0,
53,0037,CC0 1.0,
54,0038_ROOD,CC0 1.0,
55,0039_0,CC0 1.0,
56,0039_1,CC0 1.0,
57,0039_2,CC0 1.0,
58,0040,CC0 1.0,
59,0041,CC0 1.0,
60,0042,CC0 1.0,
61,0043,CC0 1.0,
62,0044_0-3,Copyright Status Not Evaluated,
63,0044_1-3,Copyright Status Not Evaluated,
64,0044_2-3,Copyright Status Not Evaluated,
65,0044_3-3,Copyright Status Not Evaluated,
66,0045_0,CC0 1.0,
67,0045_1,CC0 1.0,
68,0045_2,CC0 1.0,
69,0046,Copyright Status Not Evaluated,
70,0047,Copyright Status Not Evaluated,
71,0048,Copyright Status Not Evaluated,
72,0049_0-5_ROOD,CC0 1.0,
73,0049_1-5_ROOD,CC0 1.0,
74,0049_2-5_ROOD,CC0 1.0,
75,0049_3-5_ROOD,CC0 1.0,
76,0049_4-5_ROOD,CC0 1.0,
77,0049_5-5_ROOD,CC0 1.0,
78,0050_ROOD,CC0 1.0,
79,0051_0-6,CC0 1.0,
80,0051_1-6_ROOD,CC0 1.0,
81,0051_2-6_ROOD,CC0 1.0,
82,0051_3-6_ROOD,CC0 1.0,
83,0051_4-6,CC0 1.0,
84,0051_5-6_ROOD,CC0 1.0,
85,0051_6-6_ROOD,CC0 1.0,
86,0052_ROOD,CC0 1.0,
87,0053,CC0 1.0,
88,0054,CC0 1.0,
89,0055_0,CC0 1.0,
90,0055_1,CC0 1.0,
91,0055_2,CC0 1.0,
92,0056,CC0 1.0,
93,0057,CC0 1.0,
94,0059,CC0 1.0,
95,0060_0-2,CC0 1.0,
96,0060_1-2,Copyright Status Not Evaluated,
97,0060_2-2,Copyright Status Not Evaluated,
98,0061,CC0 1.0,
99,0063,CC0 1.0,
100,0064,CC0 1.0,
101,0065,CC0 1.0,
102,0066,Copyright Status Not Evaluated,
103,0067,Copyright Status Not Evaluated,
104,0068,CC0 1.0,
105,0069,CC0 1.0,
106,0070,CC0 1.0,
107,0071,CC0 1.0,
108,0072,CC0 1.0,
109,0073,CC0 1.0,
110,0074_ARCHIEF,Copyright Status Not Evaluated,
111,0075,Copyright Status Not Evaluated,
112,0076,CC0 1.0,
113,0077,CC0 1.0,
114,0078,CC0 1.0,
115,0079,CC0 1.0,
116,0080,CC0 1.0,
117,0081,Copyright Status Not Evaluated,
118,0085,CC0 1.0,
119,0086_0-2,CC0 1.0,
120,0086_1-2,CC0 1.0,
121,0086_2-2,CC0 1.0,
122,0088,CC0 1.0,
123,0089,Copyright Status Not Evaluated,
124,0090,CC0 1.0,
